TransactionAmount,MerchantCategory,TransactionTime,CustomerAge,Location,DeviceType,fraud
985.74,Electronics,2024-01-07 02:41:36.192384769,60,Rural,Mobile,0
6845.49,Travel,2024-01-07 02:41:36.192384769,63,Rural,Mobile,0
4407.12,Restaurants,2024-01-07 02:41:36.192384769,21,Suburban,Desktop,0
1229.16,Electronics,2024-01-07 02:41:36.192384769,43,Suburban,Mobile,0
4956.82,Travel,2024-01-07 02:41:36.192384769,46,Rural,POS,0
353.54,Travel,2024-01-07 02:41:36.192384769,62,Rural,POS,0
9094.11,Clothing,2024-01-07 02:41:36.192384769,51,Urban,POS,0
2595.21,Travel,2024-01-07 02:41:36.192384769,40,Urban,POS,0
6628.6,Travel,2024-01-07 02:41:36.192384769,54,Suburban,Desktop,0
3123.99,Travel,2024-01-07 02:41:36.192384769,28,Rural,Mobile,0
5205.48,Travel,2024-01-07 02:41:36.192384769,23,Suburban,Desktop,0
5471.64,Groceries,2024-01-07 02:41:36.192384769,35,Rural,Mobile,0
1856.7,Groceries,2024-01-07 02:41:36.192384769,38,Urban,Mobile,0
9696.15,Clothing,2024-01-07 02:41:36.192384769,59,Suburban,Mobile,0
7753.58,Electronics,2024-01-07 02:41:36.192384769,53,Suburban,Desktop,0
9395.59,Travel,2024-01-07 02:41:36.192384769,58,Rural,Mobile,0
8949.33,Electronics,2024-01-07 02:41:36.192384769,55,Urban,Desktop,0
5983.02,Electronics,2024-01-07 02:41:36.192384769,51,Suburban,POS,0
9219.52,Clothing,2024-01-07 02:41:36.192384769,34,Urban,POS,0
894.04,Travel,2024-01-07 02:41:36.192384769,54,Suburban,Mobile,0
1967.87,Travel,2024-01-07 02:41:36.192384769,42,Urban,Desktop,0
461.82,Restaurants,2024-01-07 02:41:36.192384769,55,Rural,POS,0
3260.05,Electronics,2024-01-07 02:41:36.192384769,29,Suburban,Desktop,0
3892.89,Electronics,2024-01-07 02:41:36.192384769,40,Suburban,Desktop,0
2720.78,Groceries,2024-01-07 02:41:36.192384769,59,Urban,Mobile,0
8289.09,Restaurants,2024-01-07 02:41:36.192384769,39,Urban,POS,0
3573.97,Groceries,2024-01-07 02:41:36.192384769,38,Suburban,Mobile,1
2816.54,Groceries,2024-01-07 02:41:36.192384769,44,Rural,Mobile,1
5431.53,Groceries,2024-01-07 02:41:36.192384769,48,Urban,POS,0
1417.83,Clothing,2024-01-07 02:41:36.192384769,23,Urban,POS,0
8023.95,Clothing,2024-01-07 02:41:36.192384769,44,Urban,Desktop,0
754.76,Groceries,2024-01-07 02:41:36.192384769,57,Suburban,POS,0
9869.0,Restaurants,2024-01-07 02:41:36.192384769,51,Suburban,Desktop,0
7724.73,Electronics,2024-01-07 02:41:36.192384769,29,Suburban,Desktop,0
1995.17,Restaurants,2024-01-07 02:41:36.192384769,62,Suburban,Desktop,0
65.17,Travel,2024-01-07 02:41:36.192384769,24,Rural,POS,0
8156.46,Clothing,2024-01-07 02:41:36.192384769,27,Rural,Mobile,0
7071.5,Electronics,2024-01-07 02:41:36.192384769,62,Suburban,Desktop,0
7292.78,Electronics,2024-01-07 02:41:36.192384769,34,Rural,Mobile,0
7714.99,Travel,2024-01-07 02:41:36.192384769,43,Urban,Mobile,0
749.71,Travel,2024-01-07 02:41:36.192384769,38,Urban,POS,0
3591.07,Groceries,2024-01-07 02:41:36.192384769,45,Urban,Mobile,0
1167.53,Clothing,2024-01-07 02:41:36.192384769,63,Suburban,Mobile,0
8632.4,Clothing,2024-01-07 02:41:36.192384769,19,Urban,POS,0
6236.75,Restaurants,2024-01-07 02:41:36.192384769,60,Rural,Desktop,0
3315.67,Groceries,2024-01-07 02:41:36.192384769,18,Suburban,Mobile,0
644.95,Groceries,2024-01-07 02:41:36.192384769,68,Rural,POS,0
3116.71,Groceries,2024-01-07 02:41:36.192384769,53,Urban,Mobile,1
3258.58,Groceries,2024-01-07 02:41:36.192384769,68,Urban,Mobile,0
7298.77,Clothing,2024-01-07 02:41:36.192384769,43,Urban,Desktop,0
6379.2,Clothing,2024-01-07 02:41:36.192384769,46,Suburban,Mobile,0
8873.26,Groceries,2024-01-07 02:41:36.192384769,38,Rural,POS,0
4727.43,Restaurants,2024-01-07 02:41:36.192384769,28,Suburban,Mobile,0
1204.75,Electronics,2024-01-07 02:41:36.192384769,57,Suburban,Desktop,0
7135.32,Electronics,2024-01-07 02:41:36.192384769,28,Urban,Desktop,0
7610.24,Restaurants,2024-01-07 02:41:36.192384769,53,Suburban,POS,0
5617.16,Groceries,2024-01-07 02:41:36.192384769,66,Suburban,Desktop,0
7711.96,Clothing,2024-01-07 02:41:36.192384769,56,Urban,Mobile,0
4943.02,Electronics,2024-01-07 02:41:36.192384769,57,Suburban,Desktop,0
5232.1,Travel,2024-01-07 02:41:36.192384769,52,Urban,POS,0
4281.13,Travel,2024-01-07 02:41:36.192384769,51,Urban,Desktop,0
263.94,Restaurants,2024-01-07 02:41:36.192384769,64,Urban,Desktop,0
1087.84,Groceries,2024-01-07 02:41:36.192384769,41,Urban,Desktop,0
323.98,Electronics,2024-01-07 02:41:36.192384769,39,Suburban,POS,0
6367.74,Groceries,2024-01-07 02:41:36.192384769,22,Urban,Desktop,0
3150.42,Electronics,2024-01-07 02:41:36.192384769,50,Urban,Desktop,0
5090.62,Restaurants,2024-01-07 02:41:36.192384769,53,Suburban,Mobile,0
9076.59,Restaurants,2024-01-07 02:41:36.192384769,64,Suburban,POS,0
2500.43,Travel,2024-01-07 02:41:36.192384769,37,Rural,Desktop,1
4109.73,Groceries,2024-01-07 02:41:36.192384769,36,Suburban,POS,0
7557.96,Travel,2024-01-07 02:41:36.192384769,52,Suburban,Desktop,0
2295.69,Groceries,2024-01-07 02:41:36.192384769,69,Rural,Desktop,0
779.03,Travel,2024-01-07 02:41:36.192384769,60,Suburban,Desktop,0
2904.62,Clothing,2024-01-07 02:41:36.192384769,34,Suburban,Mobile,0
1620.6,Clothing,2024-01-07 02:41:36.192384769,62,Suburban,Mobile,1
9297.68,Clothing,2024-01-07 02:41:36.192384769,60,Suburban,Mobile,0
8083.12,Clothing,2024-01-07 02:41:36.192384769,51,Rural,POS,0
6337.7,Electronics,2024-01-07 02:41:36.192384769,26,Suburban,POS,0
8715.89,Clothing,2024-01-07 02:41:36.192384769,43,Suburban,Mobile,0
8038.68,Restaurants,2024-01-07 02:41:36.192384769,19,Rural,POS,0
1873.83,Restaurants,2024-01-07 02:41:36.192384769,26,Urban,Desktop,0
8926.66,Electronics,2024-01-07 02:41:36.192384769,26,Rural,Desktop,0
5398.03,Clothing,2024-01-07 02:41:36.192384769,57,Urban,Desktop,0
8076.33,Clothing,2024-01-07 02:41:36.192384769,34,Rural,Mobile,0
8961.95,Clothing,2024-01-07 02:41:36.192384769,18,Rural,POS,1
3186.85,Travel,2024-01-07 02:41:36.192384769,42,Suburban,Mobile,0
1109.42,Groceries,2024-01-07 02:41:36.192384769,60,Urban,POS,0
2287.07,Travel,2024-01-07 02:41:36.192384769,57,Suburban,Desktop,0
4276.81,Groceries,2024-01-07 02:41:36.192384769,59,Urban,Mobile,0
8181.97,Clothing,2024-01-07 02:41:36.192384769,42,Rural,POS,0
8608.7,Clothing,2024-01-07 02:41:36.192384769,56,Rural,POS,0
79.45,Travel,2024-01-07 02:41:36.192384769,52,Urban,Desktop,0
5112.37,Travel,2024-01-07 02:41:36.192384769,20,Suburban,Mobile,1
4179.94,Groceries,2024-01-07 02:41:36.192384769,67,Suburban,Mobile,0
2228.86,Restaurants,2024-01-07 02:41:36.192384769,54,Suburban,Mobile,1
1207.46,Groceries,2024-01-07 02:41:36.192384769,61,Suburban,Desktop,0
3382.78,Travel,2024-01-07 02:41:36.192384769,61,Rural,Mobile,0
9429.67,Travel,2024-01-07 02:41:36.192384769,68,Rural,Desktop,0
3238.8,Electronics,2024-01-07 02:41:36.192384769,47,Rural,Desktop,0
5192.72,Travel,2024-01-07 02:41:36.192384769,55,Rural,Desktop,1
7033.16,Electronics,2024-01-07 02:41:36.192384769,51,Rural,POS,0
3642.66,Restaurants,2024-01-07 02:41:36.192384769,29,Suburban,Mobile,0
9718.1,Groceries,2024-01-07 02:41:36.192384769,36,Suburban,Mobile,0
9624.85,Groceries,2024-01-07 02:41:36.192384769,54,Suburban,Desktop,0
2525.31,Electronics,2024-01-07 02:41:36.192384769,61,Suburban,Desktop,0
4977.51,Groceries,2024-01-07 02:41:36.192384769,66,Rural,Mobile,1
3015.77,Travel,2024-01-07 02:41:36.192384769,34,Rural,Desktop,0
2855.56,Clothing,2024-01-07 02:41:36.192384769,27,Rural,Mobile,0
378.5,Electronics,2024-01-07 02:41:36.192384769,66,Urban,POS,0
6099.55,Groceries,2024-01-07 02:41:36.192384769,64,Suburban,Desktop,0
5031.76,Electronics,2024-01-07 02:41:36.192384769,29,Suburban,Mobile,0
524.27,Electronics,2024-01-07 02:41:36.192384769,33,Rural,Desktop,0
2793.68,Clothing,2024-01-07 02:41:36.192384769,41,Suburban,Mobile,0
9083.58,Travel,2024-01-07 02:41:36.192384769,36,Suburban,Mobile,0
2403.22,Electronics,2024-01-07 02:41:36.192384769,25,Rural,Desktop,0
1457.5,Groceries,2024-01-07 02:41:36.192384769,48,Urban,POS,0
4899.63,Restaurants,2024-01-07 02:41:36.192384769,38,Urban,Mobile,0
9856.65,Electronics,2024-01-07 02:41:36.192384769,34,Urban,Mobile,0
2428.13,Electronics,2024-01-07 02:41:36.192384769,40,Rural,Mobile,0
6724.63,Clothing,2024-01-07 02:41:36.192384769,54,Suburban,POS,0
7618.58,Travel,2024-01-07 02:41:36.192384769,33,Rural,POS,0
2384.0,Restaurants,2024-01-07 02:41:36.192384769,23,Rural,Desktop,0
7284.88,Groceries,2024-01-07 02:41:36.192384769,25,Suburban,POS,0
3684.15,Restaurants,2024-01-07 02:41:36.192384769,42,Urban,Desktop,0
6326.74,Groceries,2024-01-07 02:41:36.192384769,35,Urban,Desktop,0
6338.96,Travel,2024-01-07 02:41:36.192384769,42,Rural,POS,1
5362.39,Groceries,2024-01-07 02:41:36.192384769,29,Urban,Desktop,0
911.99,Clothing,2024-01-07 02:41:36.192384769,32,Rural,POS,0
8354.67,Clothing,2024-01-07 02:41:36.192384769,43,Rural,Desktop,0
3214.59,Clothing,2024-01-07 02:41:36.192384769,58,Suburban,POS,0
1873.32,Clothing,2024-01-07 02:41:36.192384769,62,Suburban,POS,0
417.34,Restaurants,2024-01-07 02:41:36.192384769,43,Suburban,Desktop,0
5913.02,Travel,2024-01-07 02:41:36.192384769,64,Rural,Mobile,0
6778.87,Groceries,2024-01-07 02:41:36.192384769,49,Suburban,Desktop,0
175.71,Groceries,2024-01-07 02:41:36.192384769,27,Urban,POS,0
5125.81,Clothing,2024-01-07 02:41:36.192384769,33,Urban,Mobile,0
2272.69,Clothing,2024-01-07 02:41:36.192384769,24,Rural,Desktop,0
6455.28,Electronics,2024-01-07 02:41:36.192384769,34,Rural,Desktop,0
1751.92,Travel,2024-01-07 02:41:36.192384769,40,Suburban,Desktop,0
6912.47,Restaurants,2024-01-07 02:41:36.192384769,43,Rural,Mobile,0
3873.49,Groceries,2024-01-07 02:41:36.192384769,38,Rural,POS,0
9367.93,Electronics,2024-01-07 02:41:36.192384769,39,Urban,Desktop,0
1383.83,Electronics,2024-01-07 02:41:36.192384769,24,Urban,Desktop,0
3417.25,Groceries,2024-01-07 02:41:36.192384769,31,Suburban,Desktop,0
1143.6,Restaurants,2024-01-07 02:41:36.192384769,32,Rural,Desktop,0
9247.69,Electronics,2024-01-07 02:41:36.192384769,24,Rural,Desktop,0
8774.62,Electronics,2024-01-07 02:41:36.192384769,26,Urban,POS,0
2586.84,Travel,2024-01-07 02:41:36.192384769,68,Rural,POS,0
6603.24,Restaurants,2024-01-07 02:41:36.192384769,65,Urban,Desktop,0
8174.05,Electronics,2024-01-07 02:41:36.192384769,25,Suburban,Mobile,0
5556.46,Restaurants,2024-01-07 02:41:36.192384769,67,Urban,POS,1
5301.21,Groceries,2024-01-07 02:41:36.192384769,40,Rural,Mobile,0
2426.1,Clothing,2024-01-07 02:41:36.192384769,46,Suburban,POS,0
940.1,Electronics,2024-01-07 02:41:36.192384769,35,Urban,Desktop,0
8973.19,Travel,2024-01-07 02:41:36.192384769,48,Urban,POS,0
9005.18,Groceries,2024-01-07 02:41:36.192384769,47,Suburban,Desktop,1
6334.68,Restaurants,2024-01-07 02:41:36.192384769,69,Suburban,POS,0
3396.91,Groceries,2024-01-07 02:41:36.192384769,56,Urban,Desktop,0
3498.6,Electronics,2024-01-07 02:41:36.192384769,52,Rural,Desktop,0
7262.3,Restaurants,2024-01-07 02:41:36.192384769,35,Urban,Desktop,0
8972.13,Clothing,2024-01-07 02:41:36.192384769,59,Suburban,Desktop,0
8871.99,Groceries,2024-01-07 02:41:36.192384769,56,Urban,Mobile,0
7800.96,Electronics,2024-01-07 02:41:36.192384769,34,Suburban,Desktop,0
6423.9,Travel,2024-01-07 02:41:36.192384769,31,Suburban,Mobile,1
850.56,Restaurants,2024-01-07 02:41:36.192384769,48,Rural,Mobile,0
1624.67,Groceries,2024-01-07 02:41:36.192384769,41,Suburban,Desktop,0
8986.56,Groceries,2024-01-07 02:41:36.192384769,52,Suburban,Mobile,0
6068.23,Clothing,2024-01-07 02:41:36.192384769,61,Rural,POS,0
101.88,Clothing,2024-01-07 02:41:36.192384769,62,Suburban,Desktop,0
1023.7,Travel,2024-01-07 02:41:36.192384769,51,Rural,Mobile,0
6638.38,Travel,2024-01-07 02:41:36.192384769,20,Rural,Desktop,0
60.57,Electronics,2024-01-07 02:41:36.192384769,54,Suburban,Desktop,0
1616.47,Electronics,2024-01-07 02:41:36.192384769,60,Suburban,Desktop,1
5491.85,Travel,2024-01-07 02:41:36.192384769,57,Urban,Mobile,0
6922.03,Travel,2024-01-07 02:41:36.192384769,43,Rural,POS,0
6523.09,Restaurants,2024-01-07 02:41:36.192384769,40,Urban,POS,0
2250.45,Clothing,2024-01-07 02:41:36.192384769,61,Suburban,Mobile,0
7124.67,Electronics,2024-01-07 02:41:36.192384769,56,Urban,Desktop,0
2380.12,Clothing,2024-01-07 02:41:36.192384769,32,Rural,Mobile,0
3260.74,Clothing,2024-01-07 02:41:36.192384769,66,Urban,Mobile,1
7467.45,Travel,2024-01-07 02:41:36.192384769,21,Rural,Mobile,0
6499.83,Restaurants,2024-01-07 02:41:36.192384769,46,Suburban,Desktop,1
8493.74,Groceries,2024-01-07 02:41:36.192384769,39,Suburban,Mobile,0
6579.55,Restaurants,2024-01-07 02:41:36.192384769,42,Rural,Desktop,0
5687.4,Restaurants,2024-01-07 02:41:36.192384769,30,Suburban,Mobile,0
945.81,Clothing,2024-01-07 02:41:36.192384769,35,Suburban,POS,0
3683.48,Restaurants,2024-01-07 02:41:36.192384769,50,Suburban,Mobile,0
2659.37,Electronics,2024-01-07 02:41:36.192384769,33,Suburban,Mobile,0
2447.46,Clothing,2024-01-07 02:41:36.192384769,62,Rural,POS,0
9730.38,Electronics,2024-01-07 02:41:36.192384769,59,Urban,Desktop,0
3937.05,Groceries,2024-01-07 02:41:36.192384769,61,Urban,Desktop,0
8921.55,Clothing,2024-01-07 02:41:36.192384769,19,Suburban,Mobile,0
6315.07,Groceries,2024-01-07 02:41:36.192384769,52,Urban,POS,0
7950.16,Clothing,2024-01-07 02:41:36.192384769,59,Urban,Desktop,0
5031.34,Travel,2024-01-07 02:41:36.192384769,51,Suburban,Mobile,1
5773.27,Restaurants,2024-01-07 02:41:36.192384769,47,Suburban,POS,0
4930.25,Travel,2024-01-07 02:41:36.192384769,30,Urban,Desktop,1
1960.48,Groceries,2024-01-07 02:41:36.192384769,30,Rural,Desktop,0
7227.3,Restaurants,2024-01-07 02:41:36.192384769,35,Suburban,POS,0
2814.92,Clothing,2024-01-07 02:41:36.192384769,49,Rural,POS,0
252.92,Restaurants,2024-01-07 02:41:36.192384769,49,Urban,POS,0
6458.27,Electronics,2024-01-07 02:41:36.192384769,52,Suburban,POS,0
1779.34,Restaurants,2024-01-07 02:41:36.192384769,56,Rural,Mobile,0
9405.18,Electronics,2024-01-07 02:41:36.192384769,63,Suburban,POS,0
9539.75,Restaurants,2024-01-07 02:41:36.192384769,69,Urban,Desktop,0
9149.5,Electronics,2024-01-07 02:41:36.192384769,46,Rural,Desktop,0
3707.89,Groceries,2024-01-07 02:41:36.192384769,66,Urban,Mobile,0
164.41,Travel,2024-01-07 02:41:36.192384769,46,Urban,Desktop,0
9283.9,Clothing,2024-01-07 02:41:36.192384769,61,Suburban,Desktop,0
4287.56,Restaurants,2024-01-07 02:41:36.192384769,33,Rural,POS,0
9666.88,Travel,2024-01-07 02:41:36.192384769,61,Urban,Desktop,0
9636.56,Clothing,2024-01-07 02:41:36.192384769,64,Urban,Mobile,0
8531.56,Clothing,2024-01-07 02:41:36.192384769,27,Rural,POS,0
2951.54,Electronics,2024-01-07 02:41:36.192384769,47,Urban,POS,0
3857.13,Groceries,2024-01-07 02:41:36.192384769,42,Urban,Mobile,0
8512.86,Groceries,2024-01-07 02:41:36.192384769,56,Rural,POS,0
3176.05,Travel,2024-01-07 02:41:36.192384769,37,Rural,POS,0
1703.23,Groceries,2024-01-07 02:41:36.192384769,22,Rural,Mobile,0
5572.44,Restaurants,2024-01-07 02:41:36.192384769,18,Rural,POS,0
9362.19,Groceries,2024-01-07 02:41:36.192384769,47,Suburban,Mobile,0
6963.34,Travel,2024-01-07 02:41:36.192384769,66,Rural,Mobile,0
5704.91,Groceries,2024-01-07 02:41:36.192384769,20,Suburban,Desktop,0
980.79,Restaurants,2024-01-07 02:41:36.192384769,62,Suburban,Desktop,0
6153.92,Electronics,2024-01-07 02:41:36.192384769,31,Suburban,POS,0
9900.64,Travel,2024-01-07 02:41:36.192384769,47,Urban,POS,0
1409.44,Electronics,2024-01-07 02:41:36.192384769,67,Suburban,Mobile,0
5188.11,Electronics,2024-01-07 02:41:36.192384769,21,Suburban,POS,0
8774.96,Electronics,2024-01-07 02:41:36.192384769,35,Urban,Mobile,0
7410.28,Clothing,2024-01-07 02:41:36.192384769,54,Urban,Mobile,0
6973.19,Clothing,2024-01-07 02:41:36.192384769,42,Urban,POS,0
7027.82,Electronics,2024-01-07 02:41:36.192384769,65,Rural,Mobile,0
3601.32,Travel,2024-01-07 02:41:36.192384769,18,Urban,Desktop,0
2942.98,Restaurants,2024-01-07 02:41:36.192384769,63,Urban,POS,0
8095.52,Restaurants,2024-01-07 02:41:36.192384769,32,Suburban,Desktop,0
8103.03,Groceries,2024-01-07 02:41:36.192384769,26,Urban,POS,0
8672.05,Travel,2024-01-07 02:41:36.192384769,32,Rural,Mobile,0
9133.27,Clothing,2024-01-07 02:41:36.192384769,66,Urban,POS,0
5118.31,Electronics,2024-01-07 02:41:36.192384769,41,Rural,Desktop,1
5020.15,Groceries,2024-01-07 02:41:36.192384769,21,Urban,Mobile,0
7984.97,Restaurants,2024-01-07 02:41:36.192384769,29,Urban,POS,0
6503.14,Clothing,2024-01-07 02:41:36.192384769,54,Urban,POS,0
7022.65,Clothing,2024-01-07 02:41:36.192384769,54,Urban,POS,0
7959.97,Electronics,2024-01-07 02:41:36.192384769,60,Rural,Desktop,0
8901.15,Restaurants,2024-01-07 02:41:36.192384769,23,Rural,Desktop,0
3386.57,Travel,2024-01-07 02:41:36.192384769,56,Suburban,POS,0
3762.07,Clothing,2024-01-07 02:41:36.192384769,63,Rural,Mobile,0
948.88,Electronics,2024-01-07 02:41:36.192384769,41,Urban,Mobile,0
5787.02,Travel,2024-01-07 02:41:36.192384769,28,Suburban,Desktop,0
369.06,Restaurants,2024-01-07 02:41:36.192384769,30,Suburban,Mobile,0
4661.32,Clothing,2024-01-07 02:41:36.192384769,51,Suburban,Desktop,0
5431.02,Travel,2024-01-07 02:41:36.192384769,42,Urban,POS,0
2872.55,Travel,2024-01-07 02:41:36.192384769,24,Rural,Desktop,0
5912.42,Travel,2024-01-07 02:41:36.192384769,69,Urban,Desktop,0
314.7,Clothing,2024-01-07 02:41:36.192384769,21,Suburban,POS,0
383.11,Clothing,2024-01-07 02:41:36.192384769,25,Urban,Mobile,0
8227.78,Groceries,2024-01-07 02:41:36.192384769,37,Urban,Desktop,0
3608.3,Restaurants,2024-01-07 02:41:36.192384769,46,Rural,Desktop,0
1279.33,Electronics,2024-01-07 02:41:36.192384769,68,Rural,POS,1
5227.21,Travel,2024-01-07 02:41:36.192384769,62,Suburban,Mobile,0
7702.24,Groceries,2024-01-07 02:41:36.192384769,63,Urban,Desktop,0
2166.05,Electronics,2024-01-07 02:41:36.192384769,27,Urban,POS,0
6232.68,Groceries,2024-01-07 02:41:36.192384769,60,Rural,Desktop,0
862.62,Clothing,2024-01-07 02:41:36.192384769,51,Urban,POS,0
526.3,Travel,2024-01-07 02:41:36.192384769,43,Urban,Mobile,1
5318.23,Electronics,2024-01-07 02:41:36.192384769,58,Urban,Mobile,0
5410.94,Electronics,2024-01-07 02:41:36.192384769,66,Rural,Mobile,0
6377.92,Electronics,2024-01-07 02:41:36.192384769,20,Suburban,Mobile,0
7263.65,Electronics,2024-01-07 02:41:36.192384769,23,Suburban,Desktop,0
9758.76,Electronics,2024-01-07 02:41:36.192384769,22,Urban,Desktop,0
5167.84,Groceries,2024-01-07 02:41:36.192384769,22,Suburban,Mobile,0
3236.34,Travel,2024-01-07 02:41:36.192384769,64,Rural,Mobile,0
7953.91,Clothing,2024-01-07 02:41:36.192384769,40,Rural,Mobile,0
2715.61,Clothing,2024-01-07 02:41:36.192384769,66,Suburban,Desktop,1
4395.32,Clothing,2024-01-07 02:41:36.192384769,26,Suburban,Mobile,0
793.78,Clothing,2024-01-07 02:41:36.192384769,52,Urban,Mobile,0
263.25,Groceries,2024-01-07 02:41:36.192384769,37,Suburban,Mobile,0
9626.86,Restaurants,2024-01-07 02:41:36.192384769,66,Urban,POS,0
8361.44,Travel,2024-01-07 02:41:36.192384769,59,Urban,Mobile,1
6962.78,Electronics,2024-01-07 02:41:36.192384769,52,Rural,POS,0
4095.44,Restaurants,2024-01-07 02:41:36.192384769,67,Rural,POS,0
1741.21,Clothing,2024-01-07 02:41:36.192384769,35,Rural,Mobile,0
1572.81,Restaurants,2024-01-07 02:41:36.192384769,34,Rural,POS,1
2509.93,Travel,2024-01-07 02:41:36.192384769,41,Suburban,Mobile,0
5496.77,Electronics,2024-01-07 02:41:36.192384769,20,Rural,Desktop,0
7148.81,Electronics,2024-01-07 02:41:36.192384769,49,Suburban,Desktop,0
6605.37,Travel,2024-01-07 02:41:36.192384769,52,Rural,Desktop,1
2806.54,Travel,2024-01-07 02:41:36.192384769,55,Suburban,Desktop,0
9549.1,Clothing,2024-01-07 02:41:36.192384769,30,Urban,POS,0
7381.59,Electronics,2024-01-07 02:41:36.192384769,64,Suburban,Mobile,0
5548.0,Restaurants,2024-01-07 02:41:36.192384769,42,Suburban,Mobile,0
6121.09,Groceries,2024-01-07 02:41:36.192384769,26,Rural,Mobile,0
4201.8,Groceries,2024-01-07 02:41:36.192384769,21,Suburban,Desktop,0
2484.83,Travel,2024-01-07 02:41:36.192384769,31,Urban,Desktop,0
3566.17,Clothing,2024-01-07 02:41:36.192384769,54,Urban,Mobile,0
7580.88,Groceries,2024-01-07 02:41:36.192384769,51,Rural,Desktop,0
153.79,Electronics,2024-01-07 02:41:36.192384769,28,Urban,Mobile,0
1169.57,Travel,2024-01-07 02:41:36.192384769,58,Suburban,Mobile,0
469.57,Restaurants,2024-01-07 02:41:36.192384769,20,Urban,Mobile,0
416.88,Travel,2024-01-07 02:41:36.192384769,45,Rural,Mobile,0
8556.05,Restaurants,2024-01-07 02:41:36.192384769,46,Suburban,Mobile,0
7039.54,Travel,2024-01-07 02:41:36.192384769,26,Rural,Mobile,0
4747.0,Travel,2024-01-07 02:41:36.192384769,20,Suburban,Mobile,0
987.36,Travel,2024-01-07 02:41:36.192384769,42,Urban,Desktop,0
4921.24,Restaurants,2024-01-07 02:41:36.192384769,51,Rural,Mobile,0
4739.98,Restaurants,2024-01-07 02:41:36.192384769,29,Rural,Mobile,1
1740.29,Travel,2024-01-07 02:41:36.192384769,59,Suburban,Desktop,0
4344.18,Groceries,2024-01-07 02:41:36.192384769,26,Rural,Desktop,0
3991.06,Clothing,2024-01-07 02:41:36.192384769,32,Suburban,Desktop,0
6162.34,Clothing,2024-01-07 02:41:36.192384769,57,Suburban,Mobile,0
6354.59,Clothing,2024-01-07 02:41:36.192384769,42,Suburban,POS,0
462.59,Restaurants,2024-01-07 02:41:36.192384769,22,Suburban,POS,0
3752.38,Restaurants,2024-01-07 02:41:36.192384769,28,Urban,Desktop,0
6262.34,Groceries,2024-01-07 02:41:36.192384769,51,Suburban,POS,0
5036.33,Clothing,2024-01-07 02:41:36.192384769,41,Rural,Desktop,0
